CODI_DIVISIO_TERRITORIAL;TIPUS_VEHICLE;CODI_TIPUS_VEHICLE;ANTIGUITAT;POTENCIA_FISCAL;CILINDRADA;PLACES;MARCA;NR_VEHICLES
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,7;1390;5;Volkswagen;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2010;12,49;1796;5;Mercedes-Benz;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;13,3;1995;5;Bmw;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2010;10,7;1390;5;Volkswagen;3
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2003;13,3;1997;5;Citroen;4
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;10,7;1390;5;Renault;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;12,89;1896;5;A.U.D.I.;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2014;13,3;1995;5;Hyundai;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;10,62;1398;5;Peugeot;2
B-01;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2015;6,1;865;2;Triumph;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2002;13,31;1997;5;Peugeot;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;10,75;1398;5;Peugeot;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes de més de 250 fins a 500 cc;2011;2,34;279;2;Honda;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;9,42;1124;4;Citroen;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2009;11,19;1497;5;Toyota;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2007;12,5;1799;5;Honda;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2002;10,74;1397;5;Mercedes;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,7;1390;5;Renault;2
B-01;MOTOCICLETA;Motocicletes de més de 250 fins a 500 cc;2012;2,35;279;2;Honda;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2003;9,99;1240;5;Nissan;2
B-01;MOTOCICLETA;Motocicletes fins a 125 cc              ;2009;1,45;124;2;Yamaha;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2000;10,7;1390;5;Volkswagen;2
B-01;MOTOCICL.2 RUEDAS S.SID.;Motocicletes fins a 125 cc              ;2011;1,45;125;2;Suzuki;2
B-01;TURISMO;Turismes de 12 fins a 15,99 CV          ;2004;13,3;1998;5;Ford;3
B-01;VEHIC. MIXTO;Turismes de 12 fins a 15,99 CV          ;2006;15,22;2500;5;Ford;2
B-01;MOTOCICLETA;Motocicletes de més de 500 fins a 1000cc;2015;5,08;638;2;Suzuki;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2001;11,64;1598;5;Opel;3
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2005;10,75;1398;5;Peugeot;5
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2013;10;1242;5;Ford;2
B-01;TURISMO;Turismes de 8 fins a 11,99 CV           ;2006;11,18;1493;5;Hyundai;3
