DIVISIO_TERRITORIAL,2013,2013_NR_LOCALS,2014,2014_NR_LOCALS,2015,2015_NR_LOCALS,2016,2016_NR_LOCALS,2017,2017_NR_LOCALS,2018,2018_NR_LOCALS,2019,2019_NR_LOCALS,NOM_DIVISIO_TERRITORIAL,% 2013,% 2014,% 2015,% 2016,% 2017,% 2018,% 2019
S-05006,48076.3,346,52738.63,347,58295.86,346,64242.16,349,66799.71,349,69471.7,349,72162.01,365,Districte: 05   Secció: 006,0.0,9.697772083126186,21.256960290205352,33.62542458550263,38.94519752975999,44.5030087589935,50.09892608208201
S-06001,41258.24,369,44542.72,365,49540.32,371,54499.13,371,55176.6,367,58444.35,373,58968.78,367,Districte: 06   Secció: 001,0.0,7.960785530357095,20.073759811373442,32.09271650947787,33.734740017993985,41.654976072658464,42.92606761703844
S-06002,146273.89,381,160958.8,378,177536.1,374,195476.76,375,202777.44,381,211293.54,376,216690.12,380,Districte: 06   Secció: 002,0.0,10.039324174669842,21.372378898243554,33.637493335276716,38.628595985243834,44.45061931421937,48.139985885382536
S-06003,17234.8,384,18958.27,384,20853.59,381,22938.95,381,23856.5,381,24810.76,381,25560.61,381,Districte: 06   Secció: 003,0.0,9.999941977858757,20.996994453083303,33.09669970060576,38.420521270916986,43.957342121753655,48.308132383317485
S-06004,17636.24,316,19401.08,315,21341.18,315,23519.31,406,24460.08,406,25438.48,406,26202.16,405,Districte: 06   Secció: 004,0.0,10.006894893696163,21.00753902192303,33.35784725088794,38.69214753258064,44.23981528942675,48.56998997518744
S-06005,17817.35,356,19543.49,355,21497.84,355,23632.75,487,24578.05,487,25562.55,486,26329.41,485,Districte: 06   Secció: 005,0.0,9.687972678316378,20.656775558654918,32.63897268673513,37.94447546913543,43.46998852242338,47.77399557173206
S-06006,18250.69,328,20041.51,328,22045.66,328,24250.22,328,25220.23,328,26229.03,328,27015.9,328,Districte: 06   Secció: 006,0.0,9.81234134161503,20.793569996531648,32.87289412071545,38.18781646063793,43.715278710010416,48.026732139990344
S-07001,29303.96,632,32232.49,620,35429.26,621,39008.17,620,40637.93,619,42263.45,619,43496.01,618,Districte: 07   Secció: 001,0.0,9.993632259940304,20.902635684733404,33.11569494361854,38.677264096729594,44.224364215621364,48.43048516309742
S-07002,37802.27,832,41453.29,829,45640.63,829,50244.03,832,52171.47,832,54258.33,832,55914.25,827,Districte: 07   Secció: 002,0.0,9.658203065583109,20.735156909889277,32.912732489345224,38.01147391413268,43.531936045110534,47.91241372541914
S-07003,20986.23,471,23066.76,469,25414.69,468,27676.32,501,28783.37,501,29934.69,501,30884.99,498,Districte: 07   Secció: 003,0.0,9.913786325604928,21.101741475243525,31.87847459977328,37.153600241682284,42.63967372891653,47.16788103437351
S-07004,44867.45,551,49112.22,549,54315.92,557,60027.5,556,62465.87,559,64746.93,558,66090.65,559,Districte: 07   Secció: 004,0.0,9.46068920787788,21.058629362711727,33.788525980415656,39.223133920024445,44.30713133908881,47.3019973276841
S-07005,36745.21,264,40380.88,264,44423.76,264,48866.13,264,50277.38,268,52288.47,268,53855.19,268,Districte: 07   Secció: 005,0.0,9.894269212232011,20.89673728902353,32.98639468926698,36.8270313327914,42.300098434598695,46.563837844442865
S-07006,35937.15,339,39530.85,339,43453.51,340,47411.53,343,49307.99,343,51273.44,344,52847.69,343,Districte: 07   Secció: 006,0.0,9.99995826046305,20.915292392412866,31.92902052611294,37.2061780079945,42.675309533449365,47.05587393546789
S-07007,25303.09,328,27634.6,328,30828.57,327,33982.84,326,35342.14,326,36755.83,326,37328.45,319,Districte: 07   Secció: 007,0.0,9.214329159007846,21.837174827264178,34.30312266209383,39.67519382020141,45.26221896219,47.52526272482925
