ID,TIPUS_EQUIPAMENT,DESCRIPCIO_TIPUS_EQUIPAMENT,NOM,NOM_CONTACTE,COGNOM1_CONTACTE,COGNOM2_CONTACTE,TELEFON,EMAIL,URL,SIGLA,CARRER,CODI_CARRER,NRO,BIS,ESCALA,PIS,PORTA,CODI_DIVISIO_TERRITORIAL_ADM,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,CIUTAT,CODI_CIUTAT,PROVINCIA,CODI_PROVINCIA,PAIS,CODI_PAIS,UTMX,UTMY,LATITUD,LONGITUD,TIPO_UTM,ADREÇA_COMPLETA
841,Associac.,Associacions,AMICS DEL TEATRE ZORRILLA,,,,93389****,amicsteatrezorril**@**********,http://www.escena.cat,,,,,,,,,D-01,B-01,08911,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.25******,,C/ Magatzem
842,P.Pol·lies,Pistes poliesportives,PISTA POLIESPORTIVA RONDA LLEFIÀ,,,,,,,,,,,,,,,D-04,B-28,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Rda. Sant Antoni de Llefià
843,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS SAN JUAN LLEFIÀ ALTO,,,,93399****,,,,,,,,,,,D-05,B-27,08913,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,Av. Amèrica
844,Associac.,Associacions,ASSOCIACIÓ DE VEÏNS SAN JUAN DE LLEFIÀ-GRAN SOL,,,,93387****,,,,,,,,,,,D-04,B-27,08914,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.22******,,C/ Austràlia
845,Mercats,Mercats i centres comercials,"TOYS ""R"" US",,,,93465****,,http://www.toysrus.es,,,,,,,,,D-03,B-10,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.24******,,Av. Conflent
846,C.Especial,Centres especialitzats,PUNT DE XARXA ÒMNIA BARRI BUFALÀ,,,,93388****,avbufa**@***************,http://www.xarxa-omnia.org/avbufala/,,,,,,,,,D-03,B-09,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,C/ Sardana
847,C.Especial,Centres especialitzats,PUNT DE XARXA ÒMNIA BARRI LA PAU,,,,93460****,avlap**@***************,,,,,,,,,,D-02,B-24,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.45******,2.22******,,Pl. Músics
848,C.Especial,Centres especialitzats,PUNT DE XARXA ÒMNIA BARRI MONTIGALÀ,,,,93465****,montiga**@***************,,,,,,,,,,D-,B-26,08917,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.46******,2.24******,,C/ Ciència
849,C.Especial,Centres especialitzats,PUNT DE XARXA ÒMNIA BARRI POMAR,,,,93395****,avv_pom**@***************,http://www.xarxa-omnia.org/avv_pomar/,,,,,,,,,D-03,B-15,08915,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.47******,2.25******,,Av. Primer de Maig
850,C.Especial,Centres especialitzats,PUNT DE XARXA ÒMNIA BARRI SANT ROC,,,,93383****,santr**@***************,,,,,,,,,,D-06,B-31,08918,Badalona,015,Barcelona,08,ESPAÑA,108,,,41.44******,2.23******,,Av. Maresme
