CODI_DIVISIO_TERRITORIAL;US;PROMIG_VALOR_CAD;NRE_LOCALS
S-04010;SOL SENSE EDIFICAR;        30,587.50;4
S-04010;VIVENDA;        33,532.24;433
S-04011;COMERÇ;        77,209.10;46
S-04011;EMMAGATZEMATGE;         8,025.76;304
S-04011;ENSENYAMENT;        36,866.11;1
S-04011;INDUSTRIA;       241,580.87;8
S-04011;OFICINA;        21,706.18;5
S-04011;RELIGIOS;        61,002.89;1
S-04011;VIVENDA;        38,406.33;575
S-04012;COMERÇ;        42,145.19;73
S-04012;EMMAGATZEMATGE;         8,137.49;452
S-04012;ENSENYAMENT;        71,519.71;1
S-04012;INDUSTRIA;        45,978.90;2
S-04012;OFICINA;       103,403.17;4
S-04012;SOL SENSE EDIFICAR;        89,946.95;2
S-04012;VIVENDA;        41,348.03;793
S-04013;ALTRES USOS;        57,110.97;2
S-04013;COMERÇ;        38,364.99;33
S-04013;EMMAGATZEMATGE;         5,950.30;301
S-04013;ENSENYAMENT;     1,289,441.38;1
S-04013;ESPORTIU;         3,360.05;15
S-04013;SOL SENSE EDIFICAR;        59,745.56;6
S-04013;VIVENDA;        44,027.14;436
S-04014;ALTRES USOS;     1,086,310.95;1
S-04014;COMERÇ;       102,292.71;43
S-04014;EMMAGATZEMATGE;        10,964.63;474
S-04014;OFICINA;       197,552.55;44
S-04014;RELIGIOS;       751,899.24;1
S-04014;SOL SENSE EDIFICAR;       435,118.88;6
S-04014;VIVENDA;        83,329.71;480
S-04015;COMERÇ;        53,377.66;15
S-04015;EMMAGATZEMATGE;         3,109.56;103
S-04015;INDUSTRIA;        37,304.54;2
S-04015;OFICINA;       933,019.12;1
S-04015;SOL SENSE EDIFICAR;        12,470.99;93
S-04015;VIVENDA;        62,412.60;190
S-04016;ALTRES USOS;     1,329,088.47;1
S-04016;COMERÇ;        29,728.85;21
S-04016;EMMAGATZEMATGE;         5,041.70;739
S-04016;OFICINA;        29,452.60;4
S-04016;SOL SENSE EDIFICAR;        36,014.68;2
S-04016;VIVENDA;        63,119.35;420
S-05001;ALTRES USOS;       618,123.88;4
S-05001;COMERÇ;       122,767.75;26
S-05001;EMMAGATZEMATGE;        10,250.95;402
S-05001;ENSENYAMENT;       332,320.80;3
S-05001;INDUSTRIA;        67,689.04;7
S-05001;OFICINA;        53,703.04;6
S-05001;SOL SENSE EDIFICAR;       108,956.22;1
S-05001;VIVENDA;        58,595.54;847
S-05002;COMERÇ;        49,691.39;18
S-05002;EMMAGATZEMATGE;       219,249.12;4
S-05002;VIVENDA;        51,438.33;240
S-05003;ALTRES USOS;     3,009,941.18;3
S-05003;COMERÇ;        31,462.94;19
S-05003;EMMAGATZEMATGE;        17,889.28;272
S-05003;ENSENYAMENT;        18,079.94;1
S-05003;HOTEL;     9,449,821.46;1
S-05003;INDUSTRIA;        71,422.20;1
S-05003;VIVENDA;        57,009.75;463
S-05004;ALTRES USOS;        69,589.31;2
S-05004;COMERÇ;        82,951.60;34
S-05004;EMMAGATZEMATGE;         6,151.68;383
S-05004;ENSENYAMENT;        28,782.11;1
S-05004;INDUSTRIA;       209,094.30;15
S-05004;OFICINA;        41,539.53;12
S-05004;SOL SENSE EDIFICAR;       257,381.40;15
S-05004;VIVENDA;        45,519.03;584
S-05005;ALTRES USOS;       224,635.12;1
S-05005;COMERÇ;       189,629.57;69
S-05005;EMMAGATZEMATGE;        17,374.96;230
S-05005;ESPECTACLES;       702,309.01;2
S-05005;HOTEL;       891,892.49;2
S-05005;INDUSTRIA;       199,064.86;296
S-05005;OFICINA;       147,740.94;54
S-05005;SOL SENSE EDIFICAR;       125,581.37;8
S-05005;VIVENDA;        41,446.50;402
S-05006;ALTRES USOS;       241,811.11;1
S-05006;COMERÇ;        61,461.89;14
S-05006;EMMAGATZEMATGE;         7,349.08;107
S-05006;ESPORTIU;        69,604.97;1
S-05006;INDUSTRIA;        80,760.96;11
S-05006;OFICINA;        61,710.70;1
S-05006;SOL SENSE EDIFICAR;        81,143.15;2
S-05006;VIVENDA;        58,295.86;346
S-06001;COMERÇ;        28,709.36;33
S-06001;EMMAGATZEMATGE;         9,679.99;109
S-06001;INDUSTRIA;       194,045.44;4
S-06001;OFICINA;        48,848.98;2
S-06001;SOL SENSE EDIFICAR;        30,453.26;10
S-06001;VIVENDA;        49,540.32;371
S-06002;ALTRES USOS;       475,878.76;1
S-06002;COMERÇ;        16,055.30;11
S-06002;EMMAGATZEMATGE;        97,896.01;1
S-06002;ENSENYAMENT;     3,956,980.92;1
S-06002;ESPORTIU;     1,563,597.02;1
S-06002;HOTEL;       235,391.34;1
S-06002;INDUSTRIA;       317,985.84;10
S-06002;SOL SENSE EDIFICAR;        75,529.68;33
S-06002;VIVENDA;       177,536.10;374
S-06003;COMERÇ;        12,361.89;4
S-06003;VIVENDA;        20,853.59;381
S-06004;VIVENDA;        21,341.18;315
S-06005;INDUSTRIA;         9,996.09;1
S-06005;VIVENDA;        21,497.84;355
S-06006;COMERÇ;        12,002.66;18
S-06006;VIVENDA;        22,045.66;328
S-07001;ALTRES USOS;       106,019.92;1
S-07001;COMERÇ;       104,263.47;44
S-07001;EMMAGATZEMATGE;         8,222.01;221
S-07001;ENSENYAMENT;        55,005.97;1
S-07001;INDUSTRIA;        77,174.96;6
S-07001;OFICINA;        64,524.77;1
S-07001;SOL SENSE EDIFICAR;        23,388.80;4
S-07001;VIVENDA;        35,429.26;621
S-07002;COMERÇ;        66,898.69;55
S-07002;EMMAGATZEMATGE;         6,775.18;399
S-07002;ENSENYAMENT;        49,712.60;2
S-07002;ESPECTACLES;       121,260.70;1
S-07002;HOTEL;        74,606.40;1
