SECCIO_CENSAL;US;PROMIG_VALOR_CAD;NR_LOCALS
S-04013;VIVENDA;        53,741.86;457
S-04014;ALTRES USOS;     1,331,222.77;1
S-04014;COMERÇ;       106,315.74;43
S-04014;EMMAGATZEMATGE;        13,635.04;476
S-04014;OFICINA;       247,599.05;46
S-04014;RELIGIOS;       921,417.00;1
S-04014;SOL SENSE EDIFICAR;       533,217.63;6
S-04014;VIVENDA;       101,821.71;481
S-04015;COMERÇ;       225,274.35;15
S-04015;EMMAGATZEMATGE;         4,694.55;104
S-04015;INDUSTRIA;        45,714.94;2
S-04015;OFICINA;     1,150,954.18;1
S-04015;SOL SENSE EDIFICAR;        26,259.67;93
S-04015;VIVENDA;        76,482.98;191
S-04016;ALTRES USOS;     1,628,735.16;1
S-04016;COMERÇ;        36,431.28;21
S-04016;EMMAGATZEMATGE;         6,180.10;741
S-04016;OFICINA;        36,092.75;4
S-04016;SOL SENSE EDIFICAR;        44,134.26;2
S-04016;VIVENDA;        77,306.14;424
S-05001;ALTRES USOS;       626,107.22;5
S-05001;COMERÇ;       146,640.72;27
S-05001;EMMAGATZEMATGE;        12,888.55;435
S-05001;ENSENYAMENT;       536,290.62;2
S-05001;INDUSTRIA;        70,614.76;10
S-05001;OFICINA;        74,881.09;8
S-05001;SOL SENSE EDIFICAR;       133,520.69;1
S-05001;VIVENDA;        70,931.88;1.006
S-05002;COMERÇ;        59,493.38;17
S-05002;EMMAGATZEMATGE;         8,082.92;133
S-05002;VIVENDA;        63,151.03;241
S-05003;ALTRES USOS;     3,688,540.81;3
S-05003;COMERÇ;        38,556.33;19
S-05003;EMMAGATZEMATGE;        21,977.97;271
S-05003;ENSENYAMENT;        22,156.09;1
S-05003;HOTEL;    11,580,310.14;1
S-05003;INDUSTRIA;        87,524.51;1
S-05003;VIVENDA;        69,965.84;462
S-05004;COMERÇ;       122,094.55;40
S-05004;EMMAGATZEMATGE;         7,975.67;427
S-05004;ENSENYAMENT;        35,271.10;1
S-05004;INDUSTRIA;       153,603.21;13
S-05004;OFICINA;        52,198.63;11
S-05004;SOL SENSE EDIFICAR;       275,432.24;13
S-05004;VIVENDA;        58,237.22;642
S-05005;ALTRES USOS;       169,892.14;2
S-05005;COMERÇ;       219,328.71;74
S-05005;EMMAGATZEMATGE;        23,397.14;233
S-05005;ESPECTACLES;       390,273.42;1
S-05005;ESPORTIU;       595,828.94;2
S-05005;HOTEL;       850,239.19;3
S-05005;INDUSTRIA;       242,667.08;289
S-05005;OFICINA;       176,413.38;56
S-05005;SOL SENSE EDIFICAR;        76,656.61;7
S-05005;VIVENDA;        51,184.72;505
S-05006;ALTRES USOS;       296,328.08;1
S-05006;COMERÇ;        75,318.32;14
S-05006;EMMAGATZEMATGE;         9,599.91;141
S-05006;ENSENYAMENT;       843,293.90;1
S-05006;ESPORTIU;        85,297.58;1
S-05006;INDUSTRIA;       135,073.10;6
S-05006;OFICINA;        75,623.54;1
S-05006;SOL SENSE EDIFICAR;        10,954.15;1
S-05006;VIVENDA;        72,162.01;365
S-06001;COMERÇ;        35,181.95;33
S-06001;EMMAGATZEMATGE;        12,239.76;110
S-06001;INDUSTRIA;       237,793.51;4
S-06001;OFICINA;        59,862.10;2
S-06001;SOL SENSE EDIFICAR;        35,714.03;11
S-06001;VIVENDA;        58,968.78;367
S-06002;ALTRES USOS;       583,166.94;1
S-06002;COMERÇ;        19,674.99;11
S-06002;EMMAGATZEMATGE;       251,169.82;3
S-06002;ENSENYAMENT;     5,244,575.51;1
S-06002;ESPORTIU;     2,568,453.78;1
S-06002;HOTEL;       240,345.90;1
S-06002;INDUSTRIA;       397,759.18;10
S-06002;SOL SENSE EDIFICAR;        86,792.66;32
S-06002;VIVENDA;       216,690.12;380
S-06003;COMERÇ;        15,148.88;4
S-06003;VIVENDA;        25,560.61;381
S-06004;VIVENDA;        26,202.16;405
S-06005;INDUSTRIA;        12,249.71;1
S-06005;VIVENDA;        26,329.41;485
S-06006;COMERÇ;        14,708.68;18
S-06006;VIVENDA;        27,015.90;328
S-07001;ALTRES USOS;       129,922.39;1
S-07001;COMERÇ;       127,879.46;44
S-07001;EMMAGATZEMATGE;        10,044.36;219
S-07001;ENSENYAMENT;        67,407.20;1
S-07001;INDUSTRIA;        94,631.34;6
S-07001;OFICINA;        79,072.03;1
S-07001;SOL SENSE EDIFICAR;        32,014.53;6
S-07001;VIVENDA;        43,496.01;618
S-07002;COMERÇ;        81,103.33;57
S-07002;EMMAGATZEMATGE;         8,302.65;399
S-07002;ENSENYAMENT;        54,259.57;1
S-07002;ESPECTACLES;       148,599.25;1
S-07002;HOTEL;        91,426.61;1
