CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-08001;051-060;190;139
S-08001;061-070;125;132
S-08001;071-080;91;105
S-08001;80+;48;78
S-08002;000-010;112;93
S-08002;011-020;126;115
S-08002;021-030;119;121
S-08002;031-040;125;146
S-08002;041-050;194;191
S-08002;051-060;183;185
S-08002;061-070;157;185
S-08002;071-080;113;145
S-08002;80+;59;81
S-08003;000-010;100;101
S-08003;011-020;130;119
S-08003;021-030;83;101
S-08003;031-040;136;150
S-08003;041-050;225;205
S-08003;051-060;136;140
S-08003;061-070;106;113
S-08003;071-080;74;91
S-08003;80+;37;53
S-08004;000-010;25;21
S-08004;011-020;38;33
S-08004;021-030;38;37
S-08004;031-040;37;38
S-08004;041-050;55;52
S-08004;051-060;46;59
S-08004;061-070;58;66
S-08004;071-080;45;45
S-08004;80+;14;22
S-08005;000-010;30;34
S-08005;011-020;49;35
S-08005;021-030;58;43
S-08005;031-040;72;61
S-08005;041-050;81;79
S-08005;051-060;66;51
S-08005;061-070;52;60
S-08005;071-080;40;46
S-08005;80+;27;57
S-08006;000-010;62;54
S-08006;011-020;57;62
S-08006;021-030;86;73
S-08006;031-040;111;102
S-08006;041-050;97;103
S-08006;051-060;102;119
S-08006;061-070;102;143
S-08006;071-080;100;93
S-08006;80+;24;51
S-08007;000-010;71;66
S-08007;011-020;50;61
S-08007;021-030;69;70
S-08007;031-040;113;116
S-08007;041-050;109;99
S-08007;051-060;91;79
S-08007;061-070;73;74
S-08007;071-080;54;60
S-08007;80+;20;43
S-08008;000-010;69;73
S-08008;011-020;106;92
S-08008;021-030;93;110
S-08008;031-040;113;108
S-08008;041-050;154;165
S-08008;051-060;130;145
S-08008;061-070;148;172
S-08008;071-080;104;99
S-08008;80+;29;40
S-08009;000-010;56;45
S-08009;011-020;57;55
S-08009;021-030;62;46
S-08009;031-040;85;73
S-08009;041-050;115;128
S-08009;051-060;76;81
S-08009;061-070;55;78
S-08009;071-080;73;93
S-08009;80+;37;52
S-08011;000-010;28;34
S-08011;011-020;47;51
S-08011;021-030;42;33
S-08011;031-040;57;52
S-08011;041-050;63;67
S-08011;051-060;68;62
S-08011;061-070;49;67
S-08011;071-080;46;45
S-08011;80+;14;20
S-08012;000-010;71;93
S-08012;011-020;197;216
S-08012;021-030;162;149
S-08012;031-040;104;99
S-08012;041-050;163;216
S-08012;051-060;299;299
S-08012;061-070;147;138
S-08012;071-080;65;80
S-08012;80+;30;32
S-08013;000-010;25;20
S-08013;011-020;98;64
S-08013;021-030;59;65
S-08013;031-040;43;40
S-08013;041-050;81;92
S-08013;051-060;110;122
S-08013;061-070;49;37
S-08013;071-080;20;18
S-08013;80+;13;12
S-09001;000-010;126;136
