CODI_DIVISIO_TERRITORIAL;EDAT;NRE_HOMES;NRE_DONES
S-06006;031-040;60;61
S-06006;041-050;74;65
S-06006;051-060;83;90
S-06006;061-070;64;64
S-06006;071-080;40;46
S-06006;80+;30;59
S-07001;000-010;77;75
S-07001;011-020;96;95
S-07001;021-030;131;118
S-07001;031-040;143;131
S-07001;041-050;162;173
S-07001;051-060;121;146
S-07001;061-070;104;116
S-07001;071-080;61;76
S-07001;80+;29;62
S-07002;000-010;87;93
S-07002;011-020;119;110
S-07002;021-030;120;123
S-07002;031-040;158;147
S-07002;041-050;166;162
S-07002;051-060;175;200
S-07002;061-070;176;211
S-07002;071-080;73;94
S-07002;80+;45;59
S-07003;000-010;48;71
S-07003;011-020;61;55
S-07003;021-030;98;80
S-07003;031-040;113;116
S-07003;041-050;139;129
S-07003;051-060;98;129
S-07003;061-070;77;89
S-07003;071-080;43;66
S-07003;80+;44;99
S-07004;000-010;60;55
S-07004;011-020;46;46
S-07004;021-030;52;58
S-07004;031-040;79;81
S-07004;041-050;101;107
S-07004;051-060;76;90
S-07004;061-070;51;63
S-07004;071-080;44;48
S-07004;80+;29;52
S-07005;000-010;44;31
S-07005;011-020;56;55
S-07005;021-030;44;44
S-07005;031-040;55;74
S-07005;041-050;90;92
S-07005;051-060;56;55
S-07005;061-070;37;39
S-07005;071-080;38;37
S-07005;80+;17;40
S-07006;000-010;46;45
S-07006;011-020;72;44
S-07006;021-030;62;50
S-07006;031-040;66;80
S-07006;041-050;99;99
S-07006;051-060;62;70
S-07006;061-070;55;81
S-07006;071-080;52;55
S-07006;80+;21;36
S-07007;000-010;78;45
S-07007;011-020;71;71
S-07007;021-030;89;70
S-07007;031-040;107;87
S-07007;041-050;108;87
S-07007;051-060;83;87
S-07007;061-070;45;45
S-07007;071-080;38;44
S-07007;80+;16;25
S-07008;000-010;98;76
S-07008;011-020;106;86
S-07008;021-030;112;109
S-07008;031-040;128;119
S-07008;041-050;152;140
S-07008;051-060;118;95
S-07008;061-070;60;63
S-07008;071-080;39;49
S-07008;80+;18;34
S-07009;000-010;72;85
S-07009;011-020;108;98
S-07009;021-030;83;61
S-07009;031-040;109;129
S-07009;041-050;177;140
S-07009;051-060;113;101
S-07009;061-070;112;128
S-07009;071-080;62;78
S-07009;80+;24;51
S-07010;000-010;51;43
S-07010;011-020;65;42
S-07010;021-030;57;58
S-07010;031-040;68;69
S-07010;041-050;85;76
S-07010;051-060;58;61
S-07010;061-070;41;54
S-07010;071-080;33;39
S-07010;80+;22;37
S-07011;000-010;99;94
S-07011;011-020;103;102
S-07011;021-030;97;117
S-07011;031-040;177;190
S-07011;041-050;177;163
S-07011;051-060;132;138
S-07011;061-070;116;122
S-07011;071-080;66;88
S-07011;80+;37;94
S-07012;031-040;1;1
S-07013;000-010;144;147
S-07013;011-020;171;117
S-07013;021-030;168;124
S-07013;031-040;182;189
S-07013;041-050;223;182
S-07013;051-060;166;148
S-07013;061-070;85;90
S-07013;071-080;74;71
S-07013;80+;31;56
S-07014;000-010;87;79
S-07014;011-020;88;84
S-07014;021-030;98;90
S-07014;031-040;124;130
S-07014;041-050;159;148
S-07014;051-060;106;97
S-07014;061-070;92;110
S-07014;071-080;71;82
S-07014;80+;45;61
S-07015;000-010;73;55
S-07015;011-020;67;69
S-07015;021-030;57;58
S-07015;031-040;76;87
S-07015;041-050;101;82
S-07015;051-060;67;64
S-07015;061-070;47;56
S-07015;071-080;39;35
S-07015;80+;15;29
S-07017;000-010;202;183
S-07017;011-020;214;188
S-07017;021-030;228;198
S-07017;031-040;256;244
S-07017;041-050;326;251
S-07017;051-060;224;200
S-07017;061-070;127;136
S-07017;071-080;96;131
S-07017;80+;49;81
S-07018;000-010;57;43
S-07018;011-020;69;62
S-07018;021-030;88;80
S-07018;031-040;105;101
S-07018;041-050;99;101
S-07018;051-060;83;123
S-07018;061-070;191;193
S-07018;071-080;49;47
S-07018;80+;15;25
S-07020;000-010;54;45
S-07020;011-020;58;51
S-07020;021-030;61;59
S-07020;031-040;77;89
S-07020;041-050;112;114
S-07020;051-060;109;106
S-07020;061-070;44;47
S-07020;071-080;62;121
S-07020;80+;65;99
S-07021;000-010;39;47
S-07021;011-020;31;44
S-07021;021-030;41;43
S-07021;031-040;58;63
S-07021;041-050;89;69
S-07021;051-060;48;56
S-07021;061-070;44;60
S-07021;071-080;51;59
S-07021;80+;28;39
S-07022;000-010;28;25
S-07022;011-020;33;22
S-07022;021-030;32;39
S-07022;031-040;29;49
S-07022;041-050;67;74
S-07022;051-060;51;58
S-07022;061-070;64;65
S-07022;071-080;31;44
S-07022;80+;25;30
S-07023;000-010;86;80
S-07023;011-020;110;103
S-07023;021-030;91;87
S-07023;031-040;114;125
S-07023;041-050;173;186
S-07023;051-060;136;148
S-07023;061-070;131;145
S-07023;071-080;86;109
S-07023;80+;56;103
S-07024;000-010;83;64
S-07024;011-020;98;93
S-07024;021-030;125;94
S-07024;031-040;137;111
S-07024;041-050;149;163
S-07024;051-060;148;146
S-07024;061-070;98;114
S-07024;071-080;59;74
S-07024;80+;33;69
S-07025;041-050;0;1
S-07028;000-010;86;108
S-07028;011-020;123;124
S-07028;021-030;116;126
S-07028;031-040;142;136
S-07028;041-050;192;161
S-07028;051-060;113;121
S-07028;061-070;89;120
S-07028;071-080;114;123
S-07028;80+;40;63
S-07029;000-010;69;67
S-07029;011-020;108;91
S-07029;021-030;101;70
S-07029;031-040;134;105
S-07029;041-050;142;158
S-07029;051-060;113;132
S-07029;061-070;195;244
S-07029;071-080;104;106
S-07029;80+;39;45
S-07030;000-010;61;46
S-07030;011-020;126;115
S-07030;021-030;127;110
S-07030;031-040;95;65
S-07030;041-050;130;148
S-07030;051-060;196;218
S-07030;061-070;144;133
S-07030;071-080;77;76
S-07030;80+;18;46
S-07031;000-010;47;52
S-07031;011-020;68;62
S-07031;021-030;62;61
S-07031;031-040;69;88
S-07031;041-050;105;94
S-07031;051-060;75;102
S-07031;061-070;127;124
S-07031;071-080;42;43
S-07031;80+;14;26
S-08001;000-010;145;127
S-08001;011-020;162;156
S-08001;021-030;169;143
S-08001;031-040;193;169
S-08001;041-050;256;246
S-08001;051-060;211;147
S-08001;061-070;123;131
S-08001;071-080;93;109
S-08001;80+;53;75
S-08002;000-010;103;92
S-08002;011-020;138;117
S-08002;021-030;116;122
S-08002;031-040;119;144
S-08002;041-050;201;198
S-08002;051-060;182;182
S-08002;061-070;151;191
S-08002;071-080;128;155
S-08002;80+;59;82
S-08003;000-010;106;83
S-08003;011-020;131;123
S-08003;021-030;94;113
S-08003;031-040;131;126
S-08003;041-050;225;228
S-08003;051-060;142;133
S-08003;061-070;105;115
S-08003;071-080;78;98
S-08003;80+;36;54
S-08004;000-010;24;25
S-08004;011-020;38;30
S-08004;021-030;42;41
S-08004;031-040;34;35
S-08004;041-050;55;58
S-08004;051-060;45;57
S-08004;061-070;57;63
S-08004;071-080;45;53
S-08004;80+;15;22
S-08005;000-010;35;37
S-08005;011-020;46;39
S-08005;021-030;60;39
S-08005;031-040;67;58
S-08005;041-050;89;87
S-08005;051-060;59;46
S-08005;061-070;52;62
S-08005;071-080;47;50
S-08005;80+;22;52
S-08006;000-010;61;50
S-08006;011-020;60;64
S-08006;021-030;83;70
S-08006;031-040;98;92
S-08006;041-050;104;112
S-08006;051-060;94;114
S-08006;061-070;106;145
S-08006;071-080;106;108
S-08006;80+;23;50
S-08007;000-010;59;64
S-08007;011-020;59;70
S-08007;021-030;65;66
S-08007;031-040;105;108
S-08007;041-050;118;106
S-08007;051-060;89;81
S-08007;061-070;75;67
S-08007;071-080;57;65
S-08007;80+;20;42
S-08008;000-010;69;66
S-08008;011-020;119;94
S-08008;021-030;89;109
S-08008;031-040;111;106
S-08008;041-050;162;164
S-08008;051-060;139;143
S-08008;061-070;141;171
S-08008;071-080;103;108
S-08008;80+;32;44
S-08009;000-010;54;46
S-08009;011-020;57;56
S-08009;021-030;59;49
S-08009;031-040;76;74
S-08009;041-050;124;126
S-08009;051-060;76;78
S-08009;061-070;50;80
S-08009;071-080;79;97
S-08009;80+;36;47
S-08011;000-010;29;32
S-08011;011-020;43;47
S-08011;021-030;47;38
S-08011;031-040;53;52
S-08011;041-050;66;58
S-08011;051-060;73;66
S-08011;061-070;40;63
S-08011;071-080;56;55
S-08011;80+;13;17
S-08012;000-010;77;93
S-08012;011-020;185;199
S-08012;021-030;175;179
S-08012;031-040;100;106
S-08012;041-050;164;191
S-08012;051-060;298;313
S-08012;061-070;156;143
S-08012;071-080;68;86
S-08012;80+;34;34
S-08013;000-010;29;18
S-08013;011-020;85;59
S-08013;021-030;65;72
S-08013;031-040;48;34
S-08013;041-050;65;87
S-08013;051-060;125;124
S-08013;061-070;55;41
S-08013;071-080;21;21
S-08013;80+;9;13
S-09001;000-010;119;136
S-09001;011-020;118;143
S-09001;021-030;142;127
S-09001;031-040;195;173
S-09001;041-050;219;192
S-09001;051-060;120;125
S-09001;061-070;76;103
S-09001;071-080;64;91
S-09001;80+;52;57
S-09002;000-010;128;107
S-09002;011-020;142;142
S-09002;021-030;132;108
S-09002;031-040;145;116
S-09002;041-050;188;135
S-09002;051-060;145;130
S-09002;061-070;85;77
S-09002;071-080;42;54
S-09002;80+;21;36
S-09003;000-010;59;51
S-09003;011-020;77;54
S-09003;021-030;63;58
S-09003;031-040;80;81
S-09003;041-050;100;82
S-09003;051-060;64;71
S-09003;061-070;53;57
S-09003;071-080;40;33
S-09003;80+;10;23
S-09004;000-010;126;135
S-09004;011-020;179;143
S-09004;021-030;176;126
S-09004;031-040;211;132
S-09004;041-050;212;123
S-09004;051-060;148;105
S-09004;061-070;72;54
S-09004;071-080;24;37
S-09004;80+;24;31
S-09005;000-010;62;51
S-09005;011-020;56;41
S-09005;021-030;78;64
S-09005;031-040;88;67
S-09005;041-050;96;69
S-09005;051-060;92;76
S-09005;061-070;53;61
S-09005;071-080;46;65
S-09005;80+;25;44
S-09006;000-010;90;103
S-09006;011-020;102;103
S-09006;021-030;167;108
S-09006;031-040;142;102
S-09006;041-050;170;109
S-09006;051-060;134;101
S-09006;061-070;65;70
S-09006;071-080;35;48
S-09006;80+;20;61
S-09008;000-010;68;74
S-09008;011-020;85;72
S-09008;021-030;72;88
S-09008;031-040;91;83
S-09008;041-050;111;94
S-09008;051-060;118;127
S-09008;061-070;102;96
S-09008;071-080;51;77
S-09008;80+;36;65
S-09009;000-010;25;34
S-09009;011-020;38;49
S-09009;021-030;43;50
S-09009;031-040;49;50
S-09009;041-050;82;75
S-09009;051-060;82;64
S-09009;061-070;35;40
S-09009;071-080;76;93
S-09009;80+;52;81
S-09010;000-010;36;37
S-09010;011-020;50;37
S-09010;021-030;65;49
S-09010;031-040;70;60
S-09010;041-050;86;68
S-09010;051-060;112;120
S-09010;061-070;76;71
S-09010;071-080;43;83
S-09010;80+;50;85
S-09011;000-010;53;44
S-09011;011-020;41;57
S-09011;021-030;62;50
S-09011;031-040;53;67
S-09011;041-050;86;77
S-09011;051-060;76;71
S-09011;061-070;37;40
S-09011;071-080;29;42
S-09011;80+;35;71
S-09012;000-010;78;57
S-09012;011-020;84;86
S-09012;021-030;85;83
S-09012;031-040;76;99
S-09012;041-050;128;130
S-09012;051-060;122;101
S-09012;061-070;57;73
S-09012;071-080;89;111
S-09012;80+;51;90
S-09013;000-010;42;34
S-09013;011-020;37;31
S-09013;021-030;28;34
S-09013;031-040;47;55
S-09013;041-050;81;69
S-09013;051-060;36;41
S-09013;061-070;24;40
S-09013;071-080;65;61
S-09013;80+;19;31
S-09014;000-010;73;63
S-09014;011-020;71;85
S-09014;021-030;62;73
S-09014;031-040;96;88
S-09014;041-050;131;119
S-09014;051-060;105;98
S-09014;061-070;90;107
S-09014;071-080;78;94
S-09014;80+;53;80
S-09015;000-010;98;108
S-09015;011-020;106;97
S-09015;021-030;99;98
S-09015;031-040;150;136
S-09015;041-050;153;153
S-09015;051-060;130;115
S-09015;061-070;76;78
S-09015;071-080;72;83
S-09015;80+;31;67
S-09016;000-010;65;72
S-09016;011-020;87;78
S-09016;021-030;98;77
S-09016;031-040;95;90
S-09016;041-050;144;147
S-09016;051-060;94;117
S-09016;061-070;82;97
S-09016;071-080;90;112
S-09016;80+;29;42
S-09017;000-010;108;131
S-09017;011-020;127;94
S-09017;021-030;156;106
S-09017;031-040;198;149
S-09017;041-050;182;158
S-09017;051-060;108;91
S-09017;061-070;73;68
S-09017;071-080;32;50
S-09017;80+;14;31
S-09018;000-010;64;61
S-09018;011-020;81;82
S-09018;021-030;95;105
S-09018;031-040;117;127
S-09018;041-050;140;129
S-09018;051-060;127;124
S-09018;061-070;81;94
S-09018;071-080;86;96
S-09018;80+;58;99
S-09019;000-010;53;54
S-09019;011-020;77;51
S-09019;021-030;72;67
S-09019;031-040;98;82
S-09019;041-050;97;93
S-09019;051-060;103;93
S-09019;061-070;59;64
S-09019;071-080;41;51
S-09019;80+;29;42
S-09020;000-010;19;17
S-09020;011-020;30;27
S-09020;021-030;22;25
S-09020;031-040;46;38
S-09020;041-050;46;44
S-09020;051-060;33;42
S-09020;061-070;66;86
S-09020;071-080;30;31
S-09020;80+;13;17
S-09021;000-010;61;65
S-09021;011-020;99;82
S-09021;021-030;106;87
S-09021;031-040;108;111
S-09021;041-050;160;137
S-09021;051-060;97;120
S-09021;061-070;80;75
S-09021;071-080;63;82
S-09021;80+;23;44
S-09022;000-010;61;64
S-09022;011-020;74;66
S-09022;021-030;80;73
S-09022;031-040;78;87
S-09022;041-050;123;105
S-09022;051-060;102;90
S-09022;061-070;47;67
S-09022;071-080;75;99
S-09022;80+;34;64
S-09023;000-010;82;68
S-09023;011-020;94;91
S-09023;021-030;91;76
S-09023;031-040;110;116
S-09023;041-050;137;127
S-09023;051-060;105;94
S-09023;061-070;74;85
S-09023;071-080;92;98
S-09023;80+;40;60
