CODI_DIVISIO_TERRITORIAL;BARRI;COMUNITAT_AUTONOMA;ZERO_14ANYS;DE_15_24ANYS;DE_25_44ANYS;DE_45_64ANYS;DE_65ANYS_I_MES;TOTAL
B-32;Congrés;Extremadura;0;0;2;19;64;85
B-32;Congrés;Galícia;5;0;1;1;22;29
B-32;Congrés;Madrid (Comunitat de);2;0;2;3;7;14
B-32;Congrés;Múrcia (Regió de);0;0;2;6;41;49
B-32;Congrés;Navarra (Comunitat Foral de);1;0;0;0;6;7
B-32;Congrés;País Basc;0;0;2;1;1;4
B-32;Congrés;Rioja (La);0;0;0;0;2;2
B-33;El Remei;Andalusia;0;0;2;23;35;60
B-33;El Remei;Aragó;0;0;0;3;5;8
B-33;El Remei;Astúries (Principat d');0;0;0;2;0;2
B-33;El Remei;Canàries;0;0;0;1;0;1
B-33;El Remei;Cantàbria;0;0;0;1;0;1
B-33;El Remei;Castella-la Manxa;0;0;4;4;5;13
B-33;El Remei;Castella-Lleó;1;0;1;9;10;21
B-33;El Remei;Catalunya;192;68;184;139;49;632
B-33;El Remei;Ceuta-Melilla;1;0;0;0;2;3
B-33;El Remei;Comunitat Valenciana;0;0;0;0;1;1
B-33;El Remei;estranger;19;42;129;68;8;266
B-33;El Remei;Extremadura;0;0;1;11;4;16
B-33;El Remei;Galícia;0;0;0;4;5;9
B-33;El Remei;Madrid (Comunitat de);0;0;2;0;1;3
B-33;El Remei;Múrcia (Regió de);0;0;0;5;12;17
B-33;El Remei;Navarra (Comunitat Foral de);0;0;0;0;1;1
B-34;La Mora;Andalusia;4;0;6;16;2;28
B-34;La Mora;Aragó;0;0;3;1;0;4
B-34;La Mora;Balears (Illes);0;0;1;0;0;1
B-34;La Mora;Canàries;0;0;2;0;0;2
B-34;La Mora;Castella-la Manxa;0;0;0;3;0;3
B-34;La Mora;Castella-Lleó;0;0;0;3;1;4
B-34;La Mora;Catalunya;173;34;208;95;14;524
B-34;La Mora;Ceuta-Melilla;0;0;0;1;0;1
B-34;La Mora;Comunitat Valenciana;0;0;4;2;0;6
B-34;La Mora;estranger;12;8;81;26;5;132
B-34;La Mora;Extremadura;0;0;0;3;0;3
B-34;La Mora;Galícia;2;0;3;2;0;7
B-34;La Mora;Madrid (Comunitat de);2;1;6;5;0;14
B-34;La Mora;Múrcia (Regió de);0;0;0;2;2;4
B-34;La Mora;Navarra (Comunitat Foral de);0;0;2;0;0;2
B-34;La Mora;País Basc;0;0;3;3;0;6
